Title,Artist,Length
Nazo,Miho Komatsu,284
Unmei no Roulette Mawashite,ZARD,311
Mysterious Eyes,GARNET CROW,279
Winter Bells,Mai Kuraki,280
Hoshi no Kagayakiyo,ZARD,212
START,Rina Aiuchi,255
Shodo,B'z,195
100 mono Tobira,Rina Aiuchi & Yuki Saegusa,217
Namida no Yesterday,GARNET CROW,280
Glorious Mind,ZARD,286
Revive,Mai Kuraki,281
MAGIC,Rina Aiuchi,241
Don't wanna Lie,B'z,248
Kimi no Namida ni Konnani Koishiteru,Natsuiro,282
Barairo no Jinsei,Mai Kuraki,216
STEP BY STEP,ZIGGY,260
Negaigoto Hitotsu dake,Miho Komatsu,286
Natsu no Maboroshi,GARNET CROW,242
always,Mai Kuraki,249
Mushoku,Azumi Uehara,252
Kimi toiu Hikari,GARNET CROW,308
Yukidoke no ano Kawa noyouni,Yuka Saegusa,300
Hikari,Breakers,346
Pligrim,B'z,241
Koi ni Koishite,Mai Kuraki,255
Hitomi no Melody,BOYFRIEND,304
SAWAGE LIFE,Mai Kuraki,200
Yume Monogatari,Breakers,295
Happy Birthday,Anko,285
Anata ga Irukara,Miho Komatsu,275
Everlasting ,B'z,223
Time after Time,Mai Kuraki,243
Tsubasa wo Hirogete,ZARD,314
Haru Uta,Ikimono Gakari,295
ZERO,Masaharu Fukuyama,250
